Blind sample ID,PDB ID,SMILES,Potency,Log potency,Units,Source,Comments
1,6CT5,[H]/N=C(/NCC)\NC(=O)Nc1c(cccc1CC)CC,2.5,5.602059991,IC50,BindingMOAD,
2,1W6K,C[C@H](CCC=C(C)C)[C@H]1CC[C@@]2([C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)C)C,,,,,
,1W6J,C[N@@](CCCCCCOc1ccc(c(c1)F)C(=O)c2ccc(cc2)Br)CC=C,0.0065,8.187086643,IC50,PDBBind,"In case of multiple assays, IC50 preffered and the largest reading is taken"
3,5CQH,OP(=O)([O-])OC[C@H]1O[C@H](C[C@@H]1O)n2c(=O)nc(N)cc2,,,,,
,5CQI,,,,,,
4,3RDE,CCCCCCCCCCC#CCOCc1ccc(cc1)CCC(=O)O,0.035,7.455931956,IC50,PDBBind and BindingDB,
5,3HII,c1cc(ccc1C(=N)N)OCCCCCOc2ccc(cc2)C(=N)N,0.29,6.537602002,Ki,"BindingMOAD, PDBBind, and BindingDB",
,3HI7,,,,,,
,3HIG,c1cc(ccc1C(=N)N)N/N=N/c2ccc(cc2)C(=N)N,0.013,7.886056648,Ki,"BindingMOAD, PDBBind, and BindingDB",
6,6RYP,CCC[C@H]1C(=O)NC[C@H](C[C@@H]([C@@H](CC/C(=C/C=C\[C@@H](CCCC(=O)CCCC[C@H](C[C@@H](C(=O)O1)C)C)CC)/COC)O)O)O,0.16,6.795880017,IC50,BindingMOAD,
,6RYO,CC(C)C[C@H](N1C)C(=O)N[C@@H]([C@H](C)CC)C(=O)N[C@@H](CO)C(=O)N[C@@H]([C@H](C)O)C(=O)NCC(=O)O[C@@H]([C@@H](C)[C@H]1O)CCCCCC,,,,,
7,4L9I,Fc1ccc(cc1)[C@@H]2CCNC[C@H]2COc(cc3)cc(c34)OCO4,398,3.400116928,IC50,BindingMOAD,
,4MK0,Fc1ccc(cc1)[C@@H]2CCNC[C@H]2COc(cc3)cc(c34)C=NC4=O,6.3,5.200659451,IC50,BindingDB,
8,4Q6R,c1ccccc1Cc(c(c23)ccc(Cl)c2)nnc3N4C[C@@H](C)N(CC4)c5ccc(cn5)C#N,0.21,6.677780705,IC50,BindingMOAD and BindingDB,
9,1PL6,OCc1nc(ccn1)N2CCN(CC2)S(=O)(=O)N(C)C,1,6,IC50,BindingDB,
,1PL7,,,,,,
10,6R7D,c1cccc(c12)c(ccc2)N(CC3CC3)c4cnc(nc4OC)C(=O)[C@@H](C5)[C@H]5C(=O)O,0.0024,8.619788758,IC50,BindingMOAD and BindingDB,
11,1ITU,CC1(C)C[C@@H]1C(=O)N/C(C(=O)O)=C\CCC,,,,,
,1ITQ,,,,,,
12,2V77,OC(=O)CC[C@@H](C(=O)O)C[C@H](C(=O)O)C[C@H](C)C(=O)O,8.7,5.060480747,Ki,BindingMOAD,
13,2C97,Clc1[nH]c(=O)[nH]c(=O)c1CCCCOP(=O)(O)O,0.72,6.142667504,Kd,PDBBind,
,2C9B,O=c([nH]1)[nH]c(=O)c(c12)[nH]c(=O)n2C[C@@H](O)[C@H](O)[C@H](O)CO,2.88,5.540607512,Kd,PDBBind,
,2C92,OP(=O)(O)OCCCCCn1c(=O)n(c(c12)[nH]c(=O)[nH]c2=O)C[C@@H](O)[C@H](O)[C@H](O)CO,2.11,5.675717545,Kd,PDBBind,
,2C94,O=P(O)(O)C(F)(F)CCCCn1c(=O)n(c(c12)[nH]c(=O)[nH]c2=O)C[C@@H](O)[C@H](O)[C@H](O)CO,0.15,6.823908741,Kd,PDBBind,
,2C9D,OP(=O)(O)OCCCCCCn1c(=O)n(c(c12)[nH]c(=O)[nH]c2=O)C[C@@H](O)[C@H](O)[C@H](O)CO,0.48,6.318758763,Kd,PDBBind,
14,5JWC,c1ccc(F)c(c12)c(=O)c(C)c([nH]2)-c3ccc(cc3)Cc4ccc(OC(F)(F)F)cc4,0.00373,8.428291168,IC50,BindingMOAD,
,5JWA,,,,,,
15,6Z80,O=P(O)(O)O[P@](=O)(O)O[P@](=O)(O)OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n(c(=O)[nH]2)c(c23)nc(N)[nH]c3=O,,,,,
,6Z85,O=c1[nH]c(N)nc(c12)NCC(=N2)[C@@H](O)[C@@H](O)C,,,,,
16,5YJW,COc1cc(OC)c(O)c(c12)oc(c(C)c2=O)CC[C@H](C)[C@H](OC)[C@H](C)[C@@H](OC)/C=C\C=C/C(C)=C/C,0.107,6.970616222,IC50,BindingMOAD,Active site
,5YJW,COc1cc(OC)c(O)c(c12)oc(c(C)c2=O)CC[C@H](C)[C@H](OC)[C@H](C)[C@@H](OC)/C=C\C=C\C(C)=C/C,0.107,6.970616222,IC50,BindingMOAD,Allosteric site
,5YJX,O=C(N)/C=C(\OC)[C@H](C)[C@@H](OC)/C=C/c1csc(n1)-c2csc(n2)[C@@H](C)/C=C\C=C\C(C)C,,,,,
,5YJY,c1cccc(c12)c(O)cc([n+]2[O-])CCCCCCC,,,,,
17,6XI9,Nc1ncnc(c12)n(cn2)[C@@H]3O[C@@H]([C@@H](O)[C@H]3O)CCC(=O)c4cccc(c4)C(=O)O,,,,,
,6XIG,,,,,,
18,1KQB,O=C(O)c1ccccc1,100,4,Ki,BindingMOAD and PDBBind,
,1KQC,[O-]C(=O)C,,,,,
,1KQD,,,,,,
19,4KXB,CC(C)C[C@@H](C([O-])=O)NC(=O)[C@@H](O)[C@H]([NH3+])Cc1ccccc1,75,4.124938737,Ki,PDBBind,
,4KXC,O=C([O-])[C@@H](N)CCC(=O)[O-],,,,,
,4KXD,O=C([O-])[C@@H](N)CCC(=O)[O-],,,,,
20,5IKI,C1CC[C@](C([O-])=O)(C)[C@@H]([C@]12C)CC=C3[C@@H]2CCC(=C3)C(C)C,63.8,4.195179321,Kd,BindingMOAD,
,4YT3,,,,,,
,,,,,,,
