gtcnum,smiles,pIC50_mean,n,pIC50_stddev
GTC000444A,NC(=O)c1ccc(NCc2ccccc2)nc1,5.5,10,0.13
GTC000445A,NC(=O)c1ccc(N)nc1,4.6,4,0.05
GTC000446A,c1nc(c[nH]1)-c1ccncc1,3.8,4,0.14
GTC000447A,c1c[nH]c(n1)-c1ccncc1,3.5,4,0.06
GTC000448A,Nc1nonc1C(=O)NCc1ccc(Cl)cc1,4.4,2,0.03
GTC000449A,CC(C)(C)c1cccc(c1)C(=O)NCC1(CCCCC1)NC(=O)c1cccc2nocc12,8.3,8,0.24
GTC000450A,CC(C)(C)c1cccc(c1)C(=O)NCC1(CCCC1)NC(=O)c1cccc2nocc12,8.3,10,0.28
GTC000451A,Cc1cccc(c1)C(=O)NCC1(CCCC1)NC(=O)c1cccc2nocc12,6.8,124,0.17
GTC000452A,NC(=O)c1ccc(NCc2cccc(O)c2)nc1,5.7,4,0.05
GTC000453A,CN(C)c1cccc(CNc2ccc(cn2)C(N)=O)c1,5.4,2,0.01
GTC000454A,COc1ccccc1CNc1ccc(cn1)C(N)=O,6.1,2,0.02
GTC000455A,CN(C)c1ccccc1CNc1ccc(cn1)C(N)=O,5.2,2,0.01
GTC000456A,OC=O.Nc1nonc1C(=O)N[C@@H]1CC[C@H](O)C1,5.1,4,0.09
GTC000457A,NC(=O)c1ccc(NC2CCCC2)nc1,6.7,4,0.03
GTC000458A,NC(=O)c1ccc(NCC2CCCC2)nc1,6.3,2,0.03
GTC000459A,NC(=O)c1ccc(NCc2ccccc2O)nc1,5.9,2,0.01
GTC000460A,NC(=O)c1ccc(N[C@@H]2CC[C@@H](O)C2)nc1,6.7,4,0.05
GTC000461A,OC(=O)C(F)(F)F.Cc1cccc(c1)C(=O)NCCC1(CNc2ccc(cn2)C(N)=O)CCCCC1,5.1,4,0.05
GTC000462A,Nc1nonc1C(=O)NCC1CCCCC1,5.7,2,0.07
GTC000463A,OC=O.Nc1nonc1C(=O)N1CCN(Cc2ccccn2)CC1,4.8,2,0.01
GTC000464A,NC(=O)c1cnc(NC2CCCC2)nc1N,6.2,2,0.09
GTC000465A,Cl.Nc1nonc1C(=O)NC1CCNCC1,4.7,2,0.01
GTC000466A,OC=O.Nc1nonc1C(=O)N[C@@H]1C[C@H]1c1ccc(cc1)S(N)(=O)=O.Nc1nonc1C(=O)N[C@H]1C[C@@H]1c1ccc(cc1)S(N)(=O)=O,4.8,2,0.01
GTC000467A,NC(=O)c1ccc(NC2CCC(C2)c2ccccc2)nc1,6.2,2,0.02
GTC000468A,NC(=O)c1ccc(N[C@H]2C[C@H](O)[C@@H](CO)C2)nc1,5.8,2,0.04
GTC000469A,OC(=O)C(F)(F)F.OC(=O)C(F)(F)F.NC[C@H](C1)CCC[C@H]1CNC2=NC=C(C(N)=O)C=C2,6.3,2,0.01
GTC000470A,NC(=O)c1ccc(NCc2ccccc2N2CCOCC2)nc1,5.7,2,0.04
GTC000471A,CN1CCN(CC1)c1ccccc1CNc1ccc(cn1)C(N)=O,6.1,2,0.03
GTC000472A,CN1CCN(CC1)C(=O)c1nonc1N,4.0,4,0.05
GTC000473A,COc1ccc(cc1)C(=O)n1ncnc1N,5.6,10,0.2
GTC000474A,CC(C)(C)CNc1ncc(C(N)=O)c(N)n1,6.1,4,0.05
